Date,Time,SPO2 Value,DateTime,Wellness Index
2024-02-16,04:35:03,90.3,2024-02-16 04:35:03,0.32167832167832133
2024-02-16,04:36:03,89.4,2024-02-16 04:36:03,0.258741258741259
2024-02-16,04:37:03,88.8,2024-02-16 04:37:03,0.21678321678321644
2024-02-16,04:38:03,88.5,2024-02-16 04:38:03,0.19580419580419564
2024-02-16,04:39:03,88.4,2024-02-16 04:39:03,0.18881118881118905
2024-02-16,04:40:03,88.2,2024-02-16 04:40:03,0.17482517482517487
2024-02-16,04:41:03,87.9,2024-02-16 04:41:03,0.15384615384615408
2024-02-16,04:42:03,87.0,2024-02-16 04:42:03,0.09090909090909073
2024-02-16,04:51:03,95.4,2024-02-16 04:51:03,0.6783216783216787
2024-02-16,04:52:03,96.2,2024-02-16 04:52:03,0.7342657342657344
2024-02-16,04:53:03,96.3,2024-02-16 04:53:03,0.741258741258741
2024-02-16,04:54:03,96.5,2024-02-16 04:54:03,0.7552447552447552
2024-02-16,04:55:03,96.5,2024-02-16 04:55:03,0.7552447552447552
2024-02-16,04:56:03,96.4,2024-02-16 04:56:03,0.7482517482517486
2024-02-16,04:57:03,94.0,2024-02-16 04:57:03,0.5804195804195803
2024-02-16,04:59:03,91.8,2024-02-16 04:59:03,0.4265734265734263
2024-02-16,05:00:03,92.2,2024-02-16 05:00:03,0.45454545454545464
2024-02-16,05:01:03,92.4,2024-02-16 05:01:03,0.4685314685314688
2024-02-16,05:02:03,92.9,2024-02-16 05:02:03,0.5034965034965038
2024-02-16,05:03:03,92.7,2024-02-16 05:03:03,0.4895104895104896
2024-02-16,05:04:03,92.6,2024-02-16 05:04:03,0.482517482517482
2024-02-16,05:06:03,92.6,2024-02-16 05:06:03,0.482517482517482
2024-02-16,05:07:03,91.8,2024-02-16 05:07:03,0.4265734265734263
2024-02-16,05:08:03,93.1,2024-02-16 05:08:03,0.517482517482517
2024-02-16,05:09:03,94.1,2024-02-16 05:09:03,0.587412587412587
2024-02-16,05:10:03,94.4,2024-02-16 05:10:03,0.6083916083916087
2024-02-16,05:21:03,95.7,2024-02-16 05:21:03,0.6993006993006995
2024-02-16,05:22:03,95.9,2024-02-16 05:22:03,0.7132867132867137
2024-02-16,05:23:03,96.0,2024-02-16 05:23:03,0.7202797202797202
2024-02-16,05:24:03,96.0,2024-02-16 05:24:03,0.7202797202797202
2024-02-16,05:25:03,96.3,2024-02-16 05:25:03,0.741258741258741
2024-02-16,05:26:03,96.4,2024-02-16 05:26:03,0.7482517482517486
2024-02-16,05:27:03,96.4,2024-02-16 05:27:03,0.7482517482517486
2024-02-16,05:28:03,96.4,2024-02-16 05:28:03,0.7482517482517486
2024-02-16,05:29:03,96.4,2024-02-16 05:29:03,0.7482517482517486
2024-02-16,05:30:03,96.3,2024-02-16 05:30:03,0.741258741258741
2024-02-16,05:31:03,96.3,2024-02-16 05:31:03,0.741258741258741
2024-02-16,05:33:03,96.2,2024-02-16 05:33:03,0.7342657342657344
2024-02-16,05:34:03,96.2,2024-02-16 05:34:03,0.7342657342657344
2024-02-16,05:35:03,96.0,2024-02-16 05:35:03,0.7202797202797202
2024-02-16,05:36:03,95.8,2024-02-16 05:36:03,0.706293706293706
2024-02-16,05:37:03,95.6,2024-02-16 05:37:03,0.6923076923076918
2024-02-16,05:38:03,95.4,2024-02-16 05:38:03,0.6783216783216787
2024-02-16,05:39:03,95.3,2024-02-16 05:39:03,0.671328671328671
2024-02-16,05:40:03,95.1,2024-02-16 05:40:03,0.6573426573426568
2024-02-16,05:42:03,94.7,2024-02-16 05:42:03,0.6293706293706295
2024-02-16,05:44:03,94.5,2024-02-16 05:44:03,0.6153846153846153
2024-02-16,05:46:03,94.8,2024-02-16 05:46:03,0.6363636363636361
2024-02-16,05:47:03,95.0,2024-02-16 05:47:03,0.6503496503496503
2024-02-16,05:48:03,95.0,2024-02-16 05:48:03,0.6503496503496503
2024-02-16,05:49:03,95.1,2024-02-16 05:49:03,0.6573426573426568
2024-02-16,05:50:03,95.1,2024-02-16 05:50:03,0.6573426573426568
2024-02-16,05:51:03,95.2,2024-02-16 05:51:03,0.6643356643356645
2024-02-16,05:52:03,95.3,2024-02-16 05:52:03,0.671328671328671
2024-02-16,05:53:03,95.3,2024-02-16 05:53:03,0.671328671328671
2024-02-16,05:54:03,95.3,2024-02-16 05:54:03,0.671328671328671
2024-02-16,05:55:03,95.4,2024-02-16 05:55:03,0.6783216783216787
2024-02-16,05:57:03,95.6,2024-02-16 05:57:03,0.6923076923076918
2024-02-16,05:58:03,96.1,2024-02-16 05:58:03,0.7272727272727268
2024-02-16,05:59:03,96.5,2024-02-16 05:59:03,0.7552447552447552
2024-02-16,06:00:03,96.9,2024-02-16 06:00:03,0.7832167832167836
2024-02-16,06:01:03,97.4,2024-02-16 06:01:03,0.8181818181818186
2024-02-16,06:03:03,96.8,2024-02-16 06:03:03,0.776223776223776
2024-02-16,06:04:03,96.4,2024-02-16 06:04:03,0.7482517482517486
2024-02-16,06:06:03,95.5,2024-02-16 06:06:03,0.6853146853146852
2024-02-16,06:07:03,95.2,2024-02-16 06:07:03,0.6643356643356645
2024-02-16,06:08:03,94.9,2024-02-16 06:08:03,0.6433566433566437
2024-02-16,06:09:03,94.7,2024-02-16 06:09:03,0.6293706293706295
2024-02-16,06:10:03,94.7,2024-02-16 06:10:03,0.6293706293706295
2024-02-16,06:11:03,94.6,2024-02-16 06:11:03,0.622377622377622
2024-02-16,06:12:03,94.8,2024-02-16 06:12:03,0.6363636363636361
2024-02-16,06:13:03,94.7,2024-02-16 06:13:03,0.6293706293706295
2024-02-16,06:14:03,94.9,2024-02-16 06:14:03,0.6433566433566437
2024-02-16,06:15:03,94.7,2024-02-16 06:15:03,0.6293706293706295
2024-02-16,06:17:03,94.2,2024-02-16 06:17:03,0.5944055944055945
2024-02-16,06:18:03,93.9,2024-02-16 06:18:03,0.5734265734265738
2024-02-16,06:19:03,93.8,2024-02-16 06:19:03,0.5664335664335661
2024-02-16,06:20:03,93.5,2024-02-16 06:20:03,0.5454545454545454
2024-02-16,06:21:03,93.3,2024-02-16 06:21:03,0.5314685314685311
2024-02-16,06:22:03,93.3,2024-02-16 06:22:03,0.5314685314685311
2024-02-16,06:23:03,93.4,2024-02-16 06:23:03,0.5384615384615388
2024-02-16,06:24:03,93.5,2024-02-16 06:24:03,0.5454545454545454
2024-02-16,06:25:03,93.6,2024-02-16 06:25:03,0.552447552447552
2024-02-16,06:26:03,93.6,2024-02-16 06:26:03,0.552447552447552
2024-02-16,06:27:03,93.9,2024-02-16 06:27:03,0.5734265734265738
2024-02-16,06:28:03,93.9,2024-02-16 06:28:03,0.5734265734265738
2024-02-16,06:29:03,94.0,2024-02-16 06:29:03,0.5804195804195803
2024-02-16,06:30:03,94.1,2024-02-16 06:30:03,0.587412587412587
2024-02-16,06:31:03,93.7,2024-02-16 06:31:03,0.5594405594405596
2024-02-16,06:33:03,94.2,2024-02-16 06:33:03,0.5944055944055945
2024-02-16,06:34:03,95.0,2024-02-16 06:34:03,0.6503496503496503
2024-02-16,06:35:03,95.7,2024-02-16 06:35:03,0.6993006993006995
2024-02-16,06:37:03,96.0,2024-02-16 06:37:03,0.7202797202797202
2024-02-16,06:38:03,96.0,2024-02-16 06:38:03,0.7202797202797202
2024-02-16,06:39:03,95.5,2024-02-16 06:39:03,0.6853146853146852
2024-02-16,06:40:03,95.6,2024-02-16 06:40:03,0.6923076923076918
2024-02-16,06:41:03,95.5,2024-02-16 06:41:03,0.6853146853146852
2024-02-16,06:42:03,95.6,2024-02-16 06:42:03,0.6923076923076918
2024-02-16,06:43:03,95.5,2024-02-16 06:43:03,0.6853146853146852
2024-02-16,06:45:03,95.2,2024-02-16 06:45:03,0.6643356643356645
2024-02-16,06:46:03,95.3,2024-02-16 06:46:03,0.671328671328671
2024-02-16,06:48:03,95.4,2024-02-16 06:48:03,0.6783216783216787
2024-02-16,06:49:03,95.2,2024-02-16 06:49:03,0.6643356643356645
2024-02-16,06:50:03,95.1,2024-02-16 06:50:03,0.6573426573426568
2024-02-16,06:51:03,94.9,2024-02-16 06:51:03,0.6433566433566437
2024-02-16,06:52:03,94.8,2024-02-16 06:52:03,0.6363636363636361
2024-02-16,06:53:03,94.8,2024-02-16 06:53:03,0.6363636363636361
2024-02-16,06:54:03,94.6,2024-02-16 06:54:03,0.622377622377622
2024-02-16,06:55:03,94.6,2024-02-16 06:55:03,0.622377622377622
2024-02-16,06:56:03,95.0,2024-02-16 06:56:03,0.6503496503496503
2024-02-16,06:57:03,95.1,2024-02-16 06:57:03,0.6573426573426568
2024-02-16,07:20:03,94.4,2024-02-16 07:20:03,0.6083916083916087
2024-02-16,07:22:03,94.6,2024-02-16 07:22:03,0.622377622377622
2024-02-16,07:36:03,94.9,2024-02-16 07:36:03,0.6433566433566437
2024-02-16,07:55:03,94.8,2024-02-16 07:55:03,0.6363636363636361
2024-02-16,08:01:03,95.1,2024-02-16 08:01:03,0.6573426573426568
2024-02-16,08:03:03,95.4,2024-02-16 08:03:03,0.6783216783216787
2024-02-17,02:32:33,92.5,2024-02-17 02:32:33,0.4755244755244754
2024-02-17,02:33:33,92.8,2024-02-17 02:33:33,0.4965034965034962
2024-02-17,02:34:33,92.8,2024-02-17 02:34:33,0.4965034965034962
2024-02-17,02:35:33,92.7,2024-02-17 02:35:33,0.4895104895104896
2024-02-17,02:36:33,92.4,2024-02-17 02:36:33,0.4685314685314688
2024-02-17,02:37:33,92.9,2024-02-17 02:37:33,0.5034965034965038
2024-02-17,02:38:33,92.4,2024-02-17 02:38:33,0.4685314685314688
2024-02-17,02:39:33,91.7,2024-02-17 02:39:33,0.41958041958041964
2024-02-17,02:40:33,91.1,2024-02-17 02:40:33,0.3776223776223771
2024-02-17,02:42:33,94.3,2024-02-17 02:42:33,0.6013986013986011
2024-02-17,02:43:33,95.7,2024-02-17 02:43:33,0.6993006993006995
2024-02-17,02:44:33,95.3,2024-02-17 02:44:33,0.671328671328671
2024-02-17,02:45:33,94.6,2024-02-17 02:45:33,0.622377622377622
2024-02-17,02:46:33,94.1,2024-02-17 02:46:33,0.587412587412587
2024-02-17,02:47:33,93.7,2024-02-17 02:47:33,0.5594405594405596
2024-02-17,02:49:33,95.2,2024-02-17 02:49:33,0.6643356643356645
2024-02-17,02:50:33,96.2,2024-02-17 02:50:33,0.7342657342657344
